Item,Item_Code,SPAM_crop_num,SPAM_name,SPAM_name_abr,GAEZres06,GAEZres04,GAEZres04_group4mean,group_name,animal_bd_name,group_name_v2,group_name_v3,group_name_v4,group_name_v5,group_name_v6,group_name_v7,spam_2000,spam_2005,spam_2010,spam_2020
Blueberries,552,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Cranberries,554,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Berries nes,558,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Grapes,560,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Grapes,Fruit,Temperate fruit,Grapes,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Watermelons,567,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Tropical fruit,Fruit,Tropical fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TROF,TROF,TROF
Melons; other (inc.cantaloupes),568,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Tropical fruit,Fruit,Tropical fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TROF,TROF,TROF
Figs,569,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Mangoes; mangosteens; guavas,571,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Tropical fruit,Fruit,Tropical fruit,Tropical fruit,Tropical fruit,Fruit and vegetables,,TROF,TROF,TROF
Avocados,572,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Tropical fruit,Fruit,Tropical fruit,Tropical fruit,Tropical fruit,Fruit and vegetables,,TROF,TROF,TROF
Pineapples,574,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Tropical fruit,Fruit,Tropical fruit,Tropical fruit,Tropical fruit,Fruit and vegetables,,TROF,TROF,TROF
Dates,577,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Tropical fruit,Fruit,Tropical fruit,Tropical fruit,Tropical fruit,Fruit and vegetables,,TROF,TROF,TROF
Persimmons,587,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Tropical fruit,Fruit,Tropical fruit,Tropical fruit,Tropical fruit,Fruit and vegetables,,TROF,TROF,TROF
Kiwi fruit,592,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Tropical fruit,Fruit,Tropical fruit,Tropical fruit,Tropical fruit,Fruit and vegetables,,TROF,TROF,TROF
Papayas,600,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Tropical fruit,Fruit,Tropical fruit,Tropical fruit,Tropical fruit,Fruit and vegetables,,TROF,TROF,TROF
Fruit; tropical fresh nes,603,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Tropical fruit,Fruit,Tropical fruit,Tropical fruit,Tropical fruit,Fruit and vegetables,,TROF,TROF,TROF
Fruit; fresh nes,619,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Coffee; green,656,32,arabica coffee,acof,cc2,cof,,Stimulants,,Coffee,Coffee,Coffee,Coffee,Coffee,Stimulants and spices,COFF,ACOF,ACOF,COFF
Coffee; green (ROBUSTA),,,,,,,,,,,,,,,,,RCOF,RCOF,RCOF
Cocoa; beans,661,34,cocoa,coco,cc2,coc,,Stimulants,,Cocoa,Cocoa,Cocoa,Cocoa,Cocoa,Stimulants and spices,,COCO,COCO,COCO
Tea,667,35,tea,teas,cc2,tea,,Stimulants,,Tea and Maté,Tea and maté,Tea and maté,Tea and maté,Tea and maté,Stimulants and spices,,TEAS,TEAS,TEAS
Maté,671,35,tea,teas,cc2,,Stimulants,Stimulants,,Tea and Maté,Tea and maté,Tea and maté,Tea and maté,Tea and maté,Stimulants and spices,,TEAS,TEAS,TEAS
Pepper (piper spp.),687,41,rest of crops,rest,nes,,Other,Spices,,Other spices,Spices,Spices,Spices,Spices,Stimulants and spices,,REST,REST,REST
Chillies and peppers; dry,689,41,vegetables,vege,veg,,Solanaceae,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Vanilla,692,42,rest of crops,rest,nes,,Other,Spices,,Vanilla,Spices,Spices,Spices,Spices,Stimulants and spices,,REST,REST,REST
Cinnamon (cannella),693,43,rest of crops,rest,nes,,Other,Spices,,Other spices,Spices,Spices,Spices,Spices,Stimulants and spices,,REST,REST,REST
Cloves,698,44,rest of crops,rest,nes,,Other,Spices,,Cloves,Spices,Spices,Spices,Spices,Stimulants and spices,,REST,REST,REST
Nutmeg; mace and cardamoms,702,45,rest of crops,rest,nes,,Other,Spices,,Other spices,Spices,Spices,Spices,Spices,Stimulants and spices,,REST,REST,REST
Anise; badian; fennel; coriander,711,46,rest of crops,rest,nes,,Other,Spices,,Other spices,Spices,Spices,Spices,Spices,Stimulants and spices,,REST,REST,REST
Ginger,720,47,rest of crops,rest,nes,,Other,Spices,,Other spices,Spices,Spices,Spices,Spices,Stimulants and spices,,REST,REST,REST
Spices nes,723,48,rest of crops,rest,nes,,Other,Spices,,Other spices,Spices,Spices,Spices,Spices,Stimulants and spices,,REST,REST,REST
Sorghum,83,7,sorghum,sorg,srg,srg,,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",,SORG,SORG,SORG
Sweet potatoes,122,10,sweet potato,swpo,rt1,spo,,Roots and tubers,,Roots and tubers,Roots and tubers,Roots and tubers,Roots and tubers,Roots and tubers,"Grains, roots, starchy carbohydrates",,SWPO,SWPO,SWPO
Sugar beet,157,29,sugarbeet,sugb,sub,sub,,Sugar crops,,Sugar crops,Sugar crops,Sugar crops,Sugar beet,Sugar beet,Sugar crops,SUGB,SUGB,SUGB,SUGB
Sugar cane,156,28,sugarcane,sugc,suc,sug,,Sugar crops,,Sugar crops,Sugar crops,Sugar crops,Sugar cane,Sugar cane,Sugar crops,SUGC,SUGC,SUGC,SUGC
Millet,79,5,pearl millet,pmil,mlt,pml,,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",MILL,PMIL,PMIL,PMIL
Canary seed,101,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Oilcrops,Oilcrops,"Legumes, beans, nuts",,OOIL,OOIL,OOIL
Oilseeds nes,339,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Oilcrops,Oilcrops,"Legumes, beans, nuts",,OOIL,OOIL,OOIL
Castor oil seed,265,27,other oil crops,ooil,nes,,Oils,"Legumes, nuts, and seeds",,Oilseeds,"Legumes, nuts, and seeds","Legumes, nuts, and seeds",Oilcrops,Oilcrops,"Legumes, beans, nuts",,OOIL,OOIL,OOIL
